Date,Price,Last_Month_Price,Last_2M_Price,Last_3M_Price,Last_4M_Price,Last_5M_Price,USDtoNaira,CPI,state_roll,st_label,comm_label
2017-01-01,249.69,249.69,249.69,249.69,249.69,249.69,305.202381,215.7212349,490.38031510198255,0,0
2017-02-01,293.965,249.69,249.69,249.69,249.69,249.69,305.3125,218.9453781,490.38031510198255,0,0
2017-03-01,299.075,293.965,249.69,249.69,249.69,249.69,306.4021739,222.7093311,490.38031510198255,0,0
2017-04-01,302.7166667,299.075,293.965,249.69,249.69,249.69,306.0527778,226.2745996,490.38031510198255,0,0
2017-05-01,302.6503439,302.7166667,299.075,293.965,249.69,249.69,305.5380952,230.531627,490.38031510198255,0,0
2017-06-01,305.615,302.6503439,302.7166667,299.075,293.965,249.69,305.715,234.174865,490.38031510198255,0,0
2017-07-01,292.05,305.615,302.6503439,302.7166667,299.075,293.965,305.8619048,237.0157036,490.38031510198255,0,0
2017-08-01,307.05,292.05,305.615,302.6503439,302.7166667,299.075,305.6673913,239.3154733,490.38031510198255,0,0
2017-09-01,299.4642857,307.05,292.05,305.615,302.6503439,302.7166667,305.8868421,241.1936732,490.38031510198255,0,0
2017-10-01,291.6666667,299.4642857,307.05,292.05,305.615,302.6503439,305.6238095,243.0312494,490.38031510198255,0,0
2017-11-01,285.7142857,291.6666667,299.4642857,307.05,292.05,305.615,305.9045455,244.9308995,490.38031510198255,0,0
2017-12-01,280.0,285.7142857,291.6666667,299.4642857,307.05,292.05,306.3138889,246.3839965,490.38031510198255,0,0
2018-01-01,286.8421053,280.0,285.7142857,291.6666667,299.4642857,307.05,305.7772727,248.3528303,490.38031510198255,0,0
2018-02-01,273.3823529,286.8421053,280.0,285.7142857,291.6666667,299.4642857,305.895,250.3194042,490.38031510198255,0,0
2018-03-01,309.1947115,273.3823529,286.8421053,280.0,285.7142857,291.6666667,305.7428571,252.4124672,490.38031510198255,0,0
2018-04-01,325.029304,309.1947115,273.3823529,286.8421053,280.0,285.7142857,305.61,254.5189632,490.38031510198255,0,0
2018-05-01,364.2857143,325.029304,309.1947115,273.3823529,286.8421053,280.0,305.8261905,257.2913642,490.38031510198255,0,0
2018-06-01,325.5555556,364.2857143,325.029304,309.1947115,273.3823529,286.8421053,305.8710526,260.4745916,490.38031510198255,0,0
2018-07-01,302.2727273,325.5555556,364.2857143,325.029304,309.1947115,273.3823529,305.8142857,263.4235939,490.38031510198255,0,0
2018-08-01,350.0,302.2727273,325.5555556,364.2857143,325.029304,309.1947115,306.0571429,266.1844641,490.38031510198255,0,0
2018-09-01,307.1428571,350.0,302.2727273,325.5555556,364.2857143,325.029304,306.2725,268.4104999,490.38031510198255,0,0
2018-10-01,360.0,307.1428571,350.0,302.2727273,325.5555556,364.2857143,306.505,270.3948832,490.38031510198255,0,0
2018-11-01,318.1818182,360.0,307.1428571,350.0,302.2727273,325.5555556,306.7119048,272.5607887,490.38031510198255,0,0
2018-12-01,322.0634921,318.1818182,360.0,307.1428571,350.0,302.2727273,306.9210526,274.574744,490.38031510198255,0,0
2019-01-01,301.0255754,322.0634921,318.1818182,360.0,307.1428571,350.0,306.8454545,276.6006882,490.38031510198255,0,0
2019-02-01,334.3728116,301.0255754,322.0634921,318.1818182,360.0,307.1428571,306.7681818,278.6201478,490.38031510198255,0,0
2019-03-01,300.0,334.3728116,301.0255754,322.0634921,318.1818182,360.0,306.9238095,280.8117714,490.38031510198255,0,0
2019-04-01,320.0,300.0,334.3728116,301.0255754,322.0634921,318.1818182,306.9625,283.4630328,490.38031510198255,0,0
2019-05-01,307.3686667,320.0,300.0,334.3728116,301.0255754,322.0634921,306.95,286.6133295,490.38031510198255,0,0
2019-06-01,300.0,307.3686667,320.0,300.0,334.3728116,301.0255754,306.9470588,289.6928494,490.38031510198255,0,0
2019-07-01,257.1428571,300.0,307.3686667,320.0,300.0,334.3728116,306.9369565,292.6226689,490.38031510198255,0,0
2019-08-01,294.79,257.1428571,300.0,307.3686667,320.0,300.0,306.9325,295.5071035,490.38031510198255,0,0
2019-09-01,239.2857143,294.79,257.1428571,300.0,307.3686667,320.0,306.9190476,298.5899183,490.38031510198255,0,0
2019-10-01,277.1428571,239.2857143,294.79,257.1428571,300.0,307.3686667,306.9636364,301.779567,490.38031510198255,0,0
2019-11-01,304.69,277.1428571,239.2857143,294.79,257.1428571,300.0,306.9522727,304.8688302,490.38031510198255,0,0
2019-12-01,354.17,304.69,277.1428571,239.2857143,294.79,257.1428571,306.95,307.4731072,490.38031510198255,0,0
2020-01-01,317.5438596,354.17,304.69,277.1428571,239.2857143,294.79,306.9590909,310.1587294,490.38031510198255,0,0
2020-02-01,327.8095238,317.5438596,354.17,304.69,277.1428571,239.2857143,306.955,312.6077199,490.38031510198255,0,0
2020-03-01,333.7662338,327.8095238,317.5438596,354.17,304.69,277.1428571,326.625,315.2317824,490.38031510198255,0,0
2020-04-01,369.6428571,333.7662338,327.8095238,317.5438596,354.17,304.69,361.0,318.4465236,490.38031510198255,0,0
2020-05-01,394.8051948,369.6428571,333.7662338,327.8095238,317.5438596,354.17,361.0,322.1655599,490.38031510198255,0,0
2020-06-01,402.1455939,394.8051948,369.6428571,333.7662338,327.8095238,317.5438596,361.0,326.0745623,490.38031510198255,0,0
2020-07-01,437.6470588,402.1455939,394.8051948,369.6428571,333.7662338,327.8095238,377.1904762,330.1389947,490.38031510198255,0,0
2020-08-01,415.9580499,437.6470588,402.1455939,394.8051948,369.6428571,333.7662338,381.0,334.5717051,490.38031510198255,0,0
2020-09-01,425.5424063,415.9580499,437.6470588,402.1455939,394.8051948,369.6428571,381.0,339.5165313,490.38031510198255,0,0
2020-10-01,462.6882377,425.5424063,415.9580499,437.6470588,402.1455939,394.8051948,381.0,344.7310764,490.38031510198255,0,0
2020-11-01,478.15,462.6882377,425.5424063,415.9580499,437.6470588,402.1455939,381.0,350.2554476,490.38031510198255,0,0
2020-12-01,510.9555375,478.15,462.6882377,425.5424063,415.9580499,437.6470588,381.0,355.9105346,490.38031510198255,0,0
2021-01-01,552.9767168,510.9555375,478.15,462.6882377,425.5424063,415.9580499,381.0,361.230543,490.38031510198255,0,0
2021-02-01,597.02,552.9767168,510.9555375,478.15,462.6882377,425.5424063,381.0,366.797944,490.38031510198255,0,0
2021-03-01,564.021164,597.02,552.9767168,510.9555375,478.15,462.6882377,381.0,372.5137088,490.38031510198255,0,0
2021-04-01,562.5,564.021164,597.02,552.9767168,510.9555375,478.15,381.0,376.1386376,490.38031510198255,0,0
2021-05-01,608.73706,562.5,564.021164,597.02,552.9767168,510.9555375,411.3088235,379.9397737,490.38031510198255,0,0
2021-06-01,619.47,608.73706,562.5,564.021164,597.02,552.9767168,411.2966667,383.9552663,490.38031510198255,0,0
2021-07-01,625.04523,619.47,608.73706,562.5,564.021164,597.02,411.3855,387.5075791,490.38031510198255,0,0
2021-08-01,597.7777778,625.04523,619.47,608.73706,562.5,564.021164,411.4913636,391.4794298,490.38031510198255,0,0
2021-09-01,513.5464231,597.7777778,625.04523,619.47,608.73706,562.5,410.017,395.9776796,490.38031510198255,0,0
2021-10-01,562.6190476,513.5464231,597.7777778,625.04523,619.47,608.73706,410.413,399.8659163,490.38031510198255,0,0
2021-11-01,618.8596491,562.6190476,513.5464231,597.7777778,625.04523,619.47,410.805,404.1797325,490.38031510198255,0,0
2021-12-01,700.0,618.8596491,562.6190476,513.5464231,597.7777778,625.04523,411.133,411.5232955,490.38031510198255,0,0
2022-01-01,757.46,700.0,618.8596491,562.6190476,513.5464231,597.7777778,414.535,417.5844747,490.38031510198255,0,0
2022-02-01,762.56,757.46,700.0,618.8596491,562.6190476,513.5464231,416.149,424.3941921,490.38031510198255,0,0
2022-03-01,783.06,762.56,757.46,700.0,618.8596491,562.6190476,415.832,431.7998361,490.38031510198255,0,0
2022-04-01,801.95,783.06,762.56,757.46,700.0,618.8596491,415.388,439.4006891,490.38031510198255,0,0
2022-05-01,854.24,801.95,783.06,762.56,757.46,700.0,415.088,447.233944,490.38031510198255,0,0
2022-06-01,854.66,854.24,801.95,783.06,762.56,757.46,415.013,455.3541125,490.38031510198255,0,0
2022-07-01,861.1111111,854.66,854.24,801.95,783.06,762.56,414.8171373,463.6257711,490.38031510198255,0,0
2022-08-01,783.3333333,861.1111111,854.66,854.24,801.95,783.06,418.864348,471.8299642,490.38031510198255,0,0
2022-09-01,776.893424,783.3333333,861.1111111,854.66,854.24,801.95,431.540009,478.2368481,490.38031510198255,0,0
2022-10-01,791.7989418,776.893424,783.3333333,861.1111111,854.66,854.24,437.5,484.1861024,490.38031510198255,0,0
2022-11-01,792.2740212,791.7989418,776.893424,783.3333333,861.1111111,854.66,443.440002,490.9394947,490.38031510198255,0,0
2022-12-01,797.6190479,792.2740212,791.7989418,776.893424,783.3333333,861.1111111,447.579987,499.3579821,490.38031510198255,0,0
2023-01-01,811.2285714,797.6190479,792.2740212,791.7989418,776.893424,783.3333333,459.910004,508.6860606,490.38031510198255,0,0
2023-02-01,800.8775543,811.2285714,797.6190479,792.2740212,791.7989418,776.893424,459.910004,517.3778286,490.38031510198255,0,0
2023-03-01,810.358080818286,800.8775543,811.2285714,797.6190479,792.2740212,791.7989418,458.67826086956507,526.9826585,490.38031510198255,0,0
2023-04-01,819.68253968254,810.358080818286,800.8775543,811.2285714,797.6190479,792.2740212,460.805,526.9826585,490.38031510198255,0,0
2023-05-01,822.441414618361,819.68253968254,810.358080818286,800.8775543,811.2285714,797.6190479,460.0230435,537.04539354575,490.38031510198255,0,0
2023-06-01 00:00:00,822.441414618361,822.441414618361,819.68253968254,810.358080818286,800.8775543,811.2285714,602.1177272727273,559.1269878609405,490.38031510198255,0,0
2023-07-01 00:00:00,886.861047449283,822.441414618361,822.441414618361,819.68253968254,810.358080818286,800.8775543,779.3080952380952,575.2647925243876,490.38031510198255,0,0
2023-08-01 00:00:00,896.750715171768,886.861047449283,822.441414618361,822.441414618361,819.68253968254,810.358080818286,765.3278260869565,593.5519052286753,490.38031510198255,0,0
2017-01-01,194.3183333,194.3183333,194.3183333,194.3183333,194.3183333,194.3183333,305.202381,215.7212349,237.45342813074944,1,0
2017-02-01,197.0683333,194.3183333,194.3183333,194.3183333,194.3183333,194.3183333,305.3125,218.9453781,237.45342813074944,1,0
2017-03-01,189.36,197.0683333,194.3183333,194.3183333,194.3183333,194.3183333,306.4021739,222.7093311,237.45342813074944,1,0
2017-04-01,183.2483333,189.36,197.0683333,194.3183333,194.3183333,194.3183333,306.0527778,226.2745996,237.45342813074944,1,0
2017-05-01,208.1247653,183.2483333,189.36,197.0683333,194.3183333,194.3183333,305.5380952,230.531627,237.45342813074944,1,0
2017-06-01,201.225,208.1247653,183.2483333,189.36,197.0683333,194.3183333,305.715,234.174865,237.45342813074944,1,0
2017-07-01,206.2,201.225,208.1247653,183.2483333,189.36,197.0683333,305.8619048,237.0157036,237.45342813074944,1,0
2017-08-01,205.915,206.2,201.225,208.1247653,183.2483333,189.36,305.6673913,239.3154733,237.45342813074944,1,0
2017-09-01,263.1578947,205.915,206.2,201.225,208.1247653,183.2483333,305.8868421,241.1936732,237.45342813074944,1,0
2017-10-01,250.0,263.1578947,205.915,206.2,201.225,208.1247653,305.6238095,243.0312494,237.45342813074944,1,0
2017-11-01,250.0,250.0,263.1578947,205.915,206.2,201.225,305.9045455,244.9308995,237.45342813074944,1,0
2017-12-01,250.5364223,250.0,250.0,263.1578947,205.915,206.2,306.3138889,246.3839965,237.45342813074944,1,0
2018-01-01,247.626851,250.5364223,250.0,250.0,263.1578947,205.915,305.7772727,248.3528303,237.45342813074944,1,0
2018-02-01,250.0,247.626851,250.5364223,250.0,250.0,263.1578947,305.895,250.3194042,237.45342813074944,1,0
2018-03-01,262.8523462,250.0,247.626851,250.5364223,250.0,250.0,305.7428571,252.4124672,237.45342813074944,1,0
2018-04-01,283.3824983,262.8523462,250.0,247.626851,250.5364223,250.0,305.61,254.5189632,237.45342813074944,1,0
2018-05-01,282.0242656,283.3824983,262.8523462,250.0,247.626851,250.5364223,305.8261905,257.2913642,237.45342813074944,1,0
2018-06-01,270.9377851,282.0242656,283.3824983,262.8523462,250.0,247.626851,305.8710526,260.4745916,237.45342813074944,1,0
2018-07-01,210.5640072,270.9377851,282.0242656,283.3824983,262.8523462,250.0,305.8142857,263.4235939,237.45342813074944,1,0
2018-08-01,196.1494253,210.5640072,270.9377851,282.0242656,283.3824983,262.8523462,306.0571429,266.1844641,237.45342813074944,1,0
2018-09-01,207.2180451,196.1494253,210.5640072,270.9377851,282.0242656,283.3824983,306.2725,268.4104999,237.45342813074944,1,0
2018-10-01,217.626851,207.2180451,196.1494253,210.5640072,270.9377851,282.0242656,306.505,270.3948832,237.45342813074944,1,0
2018-11-01,265.8333333,217.626851,207.2180451,196.1494253,210.5640072,270.9377851,306.7119048,272.5607887,237.45342813074944,1,0
2018-12-01,297.2306739,265.8333333,217.626851,207.2180451,196.1494253,210.5640072,306.9210526,274.574744,237.45342813074944,1,0
2019-01-01,284.2378811,297.2306739,265.8333333,217.626851,207.2180451,196.1494253,306.8454545,276.6006882,237.45342813074944,1,0
2019-02-01,293.8192321,284.2378811,297.2306739,265.8333333,217.626851,207.2180451,306.7681818,278.6201478,237.45342813074944,1,0
2019-03-01,286.8055556,293.8192321,284.2378811,297.2306739,265.8333333,217.626851,306.9238095,280.8117714,237.45342813074944,1,0
2019-04-01,295.0705646,286.8055556,293.8192321,284.2378811,297.2306739,265.8333333,306.9625,283.4630328,237.45342813074944,1,0
2019-05-01,300.0,295.0705646,286.8055556,293.8192321,284.2378811,297.2306739,306.95,286.6133295,237.45342813074944,1,0
2019-06-01,289.6918768,300.0,295.0705646,286.8055556,293.8192321,284.2378811,306.9470588,289.6928494,237.45342813074944,1,0
2019-07-01,254.8753328,289.6918768,300.0,295.0705646,286.8055556,293.8192321,306.9369565,292.6226689,237.45342813074944,1,0
2019-08-01,283.62,254.8753328,289.6918768,300.0,295.0705646,286.8055556,306.9325,295.5071035,237.45342813074944,1,0
2019-09-01,274.5657427,283.62,254.8753328,289.6918768,300.0,295.0705646,306.9190476,298.5899183,237.45342813074944,1,0
2019-10-01,243.014,274.5657427,283.62,254.8753328,289.6918768,300.0,306.9636364,301.779567,237.45342813074944,1,0
2019-11-01,283.55,243.014,274.5657427,283.62,254.8753328,289.6918768,306.9522727,304.8688302,237.45342813074944,1,0
2019-12-01,303.75,283.55,243.014,274.5657427,283.62,254.8753328,306.95,307.4731072,237.45342813074944,1,0
2020-01-01,296.6797786,303.75,283.55,243.014,274.5657427,283.62,306.9590909,310.1587294,237.45342813074944,1,0
2020-02-01,255.91133,296.6797786,303.75,283.55,243.014,274.5657427,306.955,312.6077199,237.45342813074944,1,0
2020-03-01,213.7931034,255.91133,296.6797786,303.75,283.55,243.014,326.625,315.2317824,237.45342813074944,1,0
2020-04-01,178.1223449,213.7931034,255.91133,296.6797786,303.75,283.55,361.0,318.4465236,237.45342813074944,1,0
2020-05-01,178.59529,178.1223449,213.7931034,255.91133,296.6797786,303.75,361.0,322.1655599,237.45342813074944,1,0
2020-06-01,207.2310952,178.59529,178.1223449,213.7931034,255.91133,296.6797786,361.0,326.0745623,237.45342813074944,1,0
2020-07-01,222.3909417,207.2310952,178.59529,178.1223449,213.7931034,255.91133,377.1904762,330.1389947,237.45342813074944,1,0
2020-08-01,223.2604282,222.3909417,207.2310952,178.59529,178.1223449,213.7931034,381.0,334.5717051,237.45342813074944,1,0
2020-09-01,223.8632371,223.2604282,222.3909417,207.2310952,178.59529,178.1223449,381.0,339.5165313,237.45342813074944,1,0
2020-10-01,205.8585859,223.8632371,223.2604282,222.3909417,207.2310952,178.59529,381.0,344.7310764,237.45342813074944,1,0
2020-11-01,202.6666667,205.8585859,223.8632371,223.2604282,222.3909417,207.2310952,381.0,350.2554476,237.45342813074944,1,0
2020-12-01,200.1036415,202.6666667,205.8585859,223.8632371,223.2604282,222.3909417,381.0,355.9105346,237.45342813074944,1,0
2021-01-01,205.4385965,200.1036415,202.6666667,205.8585859,223.8632371,223.2604282,381.0,361.230543,237.45342813074944,1,0
2021-02-01,190.1754386,205.4385965,200.1036415,202.6666667,205.8585859,223.8632371,381.0,366.797944,237.45342813074944,1,0
