Date,Close
2018-01-01,63.840801
2018-01-02,63.867599
2018-01-03,63.459999
2018-01-04,63.419102
2018-01-05,63.369598
2018-01-08,63.264999
2018-01-09,63.452
2018-01-10,63.636101
2018-01-11,63.759998
2018-01-12,63.6721
2018-01-15,63.588501
2018-01-16,63.521198
2018-01-17,63.994301
2018-01-18,63.825001
2018-01-19,63.867599
2018-01-22,63.8321
2018-01-23,63.8801
2018-01-24,63.7505
2018-01-25,63.5779
2018-01-26,63.573101
2018-01-29,63.57
2018-01-30,63.669399
2018-01-31,63.769901
2018-02-01,63.665001
2018-02-02,63.974998
2018-02-05,64.1325
2018-02-06,64.314697
2018-02-07,63.98
2018-02-08,64.199997
2018-02-09,64.440498
2018-02-12,64.211304
2018-02-13,64.283501
2018-02-14,64.250099
2018-02-15,64.0252
2018-02-16,63.8909
2018-02-19,64.379997
2018-02-20,64.504997
2018-02-21,64.864998
2018-02-22,64.894997
2018-02-23,64.951401
2018-02-26,64.70300300000001
2018-02-27,64.780403
2018-02-28,64.910004
2018-03-01,65.239998
2018-03-02,65.150002
2018-03-05,65.186699
2018-03-06,65.0037
2018-03-07,64.889999
2018-03-08,64.89119699999999
2018-03-09,65.090401
2018-03-12,64.964897
2018-03-13,64.945503
2018-03-14,64.828102
2018-03-15,64.8368
2018-03-16,65.014397
2018-03-19,65.065002
2018-03-20,65.210098
2018-03-21,65.232399
2018-03-22,65.065598
2018-03-23,65.160004
2018-03-26,65.014999
2018-03-27,64.695
2018-03-28,64.8955
2018-03-29,65.1492
2018-03-30,65.029999
2018-04-02,65.105499
2018-04-03,65.139999
2018-04-04,64.904999
2018-04-05,64.995003
2018-04-06,64.86150400000001
2018-04-09,64.904503
2018-04-10,64.870003
2018-04-11,64.925301
2018-04-12,65.190002
2018-04-13,65.27570300000001
2018-04-16,65.19560200000001
2018-04-17,65.429298
2018-04-18,65.675003
2018-04-19,66.010002
2018-04-20,66.114799
2018-04-23,66.196899
2018-04-24,66.54499799999999
2018-04-25,66.414101
2018-04-26,66.9077
2018-04-27,66.900002
2018-04-30,66.610001
2018-05-01,66.449997
2018-05-02,66.788696
2018-05-03,67.08000200000001
2018-05-04,66.660004
2018-05-07,66.810501
2018-05-08,67.118797
2018-05-09,67.162498
2018-05-10,67.620003
2018-05-11,67.389999
2018-05-14,67.382202
2018-05-15,67.678001
2018-05-16,68.459999
2018-05-17,68.059998
2018-05-18,68.139999
2018-05-21,67.974998
2018-05-22,68.400002
2018-05-23,68.43
2018-05-24,68.650002
2018-05-25,68.260101
2018-05-28,67.721703
2018-05-29,67.40280200000001
2018-05-30,68.129997
2018-05-31,67.43
2018-06-01,67.434998
2018-06-04,66.925003
2018-06-05,67.059998
2018-06-06,67.089996
2018-06-07,66.830101
2018-06-08,67.410004
2018-06-11,67.510002
2018-06-12,67.489998
2018-06-13,67.910004
2018-06-14,67.779999
2018-06-15,68.129997
2018-06-18,68.050003
2018-06-19,68.010002
2018-06-20,68.050003
2018-06-21,68.349998
2018-06-22,67.83000200000001
2018-06-25,67.854897
2018-06-26,68.339996
2018-06-27,68.364998
2018-06-28,69.239998
2018-06-29,68.7967
2018-07-02,68.434998
2018-07-03,68.694801
2018-07-04,68.83000200000001
2018-07-05,68.980003
2018-07-06,69.07
2018-07-09,68.754997
2018-07-10,68.659798
2018-07-11,68.900002
2018-07-12,68.720001
2018-07-13,68.540001
2018-07-16,68.48670200000001
2018-07-17,68.720001
2018-07-18,68.356003
2018-07-19,68.615501
2018-07-20,68.935097
2018-07-23,68.733299
2018-07-24,69.199997
2018-07-25,68.809998
2018-07-26,68.839996
2018-07-27,68.739998
2018-07-30,68.614998
2018-07-31,68.684998
2018-08-01,68.496803
2018-08-02,68.307098
2018-08-03,68.615501
2018-08-06,68.504997
2018-08-07,68.809998
2018-08-08,68.596001
2018-08-09,68.45500200000001
2018-08-10,69.099998
2018-08-13,69.084999
2018-08-14,69.949097
2018-08-15,69.949997
2018-08-16,70.660004
2018-08-17,70.004997
2018-08-20,69.785004
2018-08-21,69.739998
2018-08-22,69.809998
2018-08-23,69.790001
2018-08-24,70.275002
2018-08-27,69.764999
2018-08-28,69.945
2018-08-29,70.540001
2018-08-30,70.910004
2018-08-31,71.404999
2018-09-03,70.995003
2018-09-04,71.07
2018-09-05,71.75
2018-09-06,71.889999
2018-09-07,71.93890400000002
2018-09-10,72.095001
2018-09-11,72.445
2018-09-12,72.989998
2018-09-13,71.925201
2018-09-14,72.027496
2018-09-17,72.095001
2018-09-18,72.534798
2018-09-19,73.120003
2018-09-20,72.345001
2018-09-21,71.720001
2018-09-24,72.230003
2018-09-25,73.300003
2018-09-26,73.089996
2018-09-27,72.769997
2018-09-28,72.949997
2018-10-01,72.504997
2018-10-02,73.754997
2018-10-03,73.279999
2018-10-04,73.849998
2018-10-05,74.220001
2018-10-08,73.763
2018-10-09,73.889999
2018-10-10,74.550003
2018-10-11,74.599998
2018-10-12,74.160004
2018-10-15,73.67600300000002
2018-10-16,74.08000200000002
2018-10-17,73.45549799999998
2018-10-18,73.91999799999998
2018-10-19,74.160004
2018-10-22,73.464996
2018-10-23,73.85949699999998
2018-10-24,73.221298
2018-10-25,73.220497
2018-10-26,73.2202
2018-10-29,73.125
2018-10-30,73.590599
2018-10-31,73.650002
2018-11-01,74.07
2018-11-02,73.309998
2018-11-05,72.904999
2018-11-06,72.860001
2018-11-07,73.230003
2018-11-08,72.379997
2018-11-09,72.900002
2018-11-12,72.470001
2018-11-13,73.18
2018-11-14,72.550003
2018-11-15,72.400002
2018-11-16,71.891701
2018-11-19,71.775002
2018-11-20,71.690002
2018-11-21,71.415001
2018-11-22,71.29499799999998
2018-11-23,70.834999
2018-11-26,70.66999799999998
2018-11-27,70.809998
2018-11-28,70.879997
2018-11-29,70.599998
2018-11-30,69.91999799999999
2018-12-03,69.760002
2018-12-04,70.485001
2018-12-05,70.629997
2018-12-06,70.870003
2018-12-07,70.75
2018-12-10,71.364998
2018-12-11,72.730003
2018-12-12,72.620003
2018-12-13,72.150002
2018-12-14,71.54699699999998
2018-12-17,71.910004
2018-12-18,71.589996
2018-12-19,70.57
2018-12-20,70.685501
2018-12-21,70.300003
2018-12-24,70.139999
2018-12-25,70.239998
2018-12-26,70.239998
2018-12-27,70.150002
2018-12-28,69.989998
2018-12-31,69.922501
2019-01-01,69.709999
2019-01-02,69.709999
2019-01-03,69.959999
2019-01-04,70.300003
2019-01-07,69.525002
2019-01-08,69.809998
2019-01-09,70.33000200000001
2019-01-10,70.550499
2019-01-11,70.720001
2019-01-14,70.370003
2019-01-15,71.084999
2019-01-16,71.092499
2019-01-17,71.364998
2019-01-18,71.030197
2019-01-21,71.230003
2019-01-22,71.5
2019-01-23,71.230202
2019-01-24,71.157303
2019-01-25,70.989998
2019-01-28,70.974998
2019-01-29,71.090103
2019-01-30,71.620003
2019-01-31,71.120003
2019-02-01,71.199997
2019-02-04,71.451698
2019-02-05,71.684998
2019-02-06,71.769997
2019-02-07,71.540497
2019-02-08,71.58000200000002
2019-02-11,71.150002
2019-02-12,71.230003
2019-02-13,70.809998
2019-02-14,70.86509699999998
2019-02-15,71.010002
2019-02-18,71.32
2019-02-19,71.699997
2019-02-20,71.599998
2019-02-21,71.300003
2019-02-22,71.184998
2019-02-25,71.030998
2019-02-26,71.089996
2019-02-27,70.940002
2019-02-28,71.190002
2019-03-01,70.816002
2019-03-04,70.989998
2019-03-05,70.900002
2019-03-06,70.7425
2019-03-07,70.364998
2019-03-08,70.487503
2019-03-11,69.9869
2019-03-12,69.7901
2019-03-13,69.845001
2019-03-14,69.726303
2019-03-15,69.337303
2019-03-18,68.95300300000001
2019-03-19,68.61799599999999
2019-03-20,69.317497
2019-03-21,68.824997
2019-03-22,68.93
2019-03-25,69.1605
2019-03-26,68.923401
2019-03-27,69.427498
2019-03-28,69.370003
2019-03-29,69.5
2019-04-01,69.43
2019-04-02,69.195297
2019-04-03,68.910202
2019-04-04,68.849998
2019-04-05,68.970398
2019-04-08,69.160004
